Date,Last Price
2005-05-31,335.952
2005-04-29,326.578
2005-03-31,339.887
2005-02-28,344.615
2005-01-31,324.319
2004-12-31,330.181
2004-11-30,325.133
2004-10-29,305.764
2004-09-30,300.674
2004-08-31,285.271
2004-07-30,295.006
2004-06-30,319.28
2004-05-31,310.968
2004-04-30,298.504
2004-03-31,315.008
2004-02-27,310.408
2004-01-30,308.627
2003-12-31,300.464
2003-11-28,286.802
2003-10-31,283.612
2003-09-30,267.392
2003-08-29,272.692
2003-07-31,272.224
2003-06-30,270.155
2003-05-30,266.756
2003-04-30,254.651
2003-03-31,243.103
2003-02-28,237.783
2003-01-31,243.39
2002-12-31,249.135
2002-11-29,249.085
2002-10-31,256.331
2002-09-30,254.256
2002-08-30,278.239
2002-07-31,272.836
2002-06-28,293.177
2002-05-31,314.518
2002-04-30,321.779
2002-03-29,321.62
2002-02-28,309.054
2002-01-31,307.424
2001-12-31,302.246
2001-11-30,294.384
2001-10-31,279.668
2001-09-28,285.195
2001-08-31,301.013
2001-07-31,310.693
2001-06-29,316.448
2001-05-31,330.545
2001-04-30,326.841
2001-03-30,313.773
2001-02-28,343.476
2001-01-31,437.058
2000-12-29,418.094
2000-11-30,432.574
2000-10-31,512.246
2000-09-29,547.786
2000-08-31,614.8
2000-07-31,556.31
2000-06-30,558
2000-05-31,518.009
2000-04-28,560.223
2000-03-31,587.521
2000-02-29,538.518
2000-01-31,497.943
1999-12-31,528.973
1999-11-30,459.169
1999-10-29,426.894
1999-09-30,411.956
1999-08-31,409.94
1999-07-30,406.025
1999-06-30,417.452
1999-05-31,384.012
1999-04-30,398.456
1999-03-31,399.455
1999-02-26,374.282
1999-01-29,391.291
1998-12-31,359.678
1998-11-30,317.181
1998-10-30,297.935
1998-09-30,278.557
1998-08-31,260.382
1998-07-31,300.242
1998-06-30,295.317
1998-05-29,276.32
1998-04-30,277.447
1998-03-31,269.181
1998-02-27,260.024
1998-01-30,238.055
1997-12-31,231.319
1997-11-28,231.617
1997-10-31,221.067
1997-09-30,232.108
1997-08-29,220.733
1997-07-31,238.238
1997-06-30,213.406
1997-05-30,205.033
1997-04-30,194.7
1997-03-31,176.453
1997-02-28,186.406
1997-01-31,183.546
1996-12-31,169.986
1996-11-29,174.506
1996-10-31,164.518
1996-09-30,158.067
1996-08-30,147.427
1996-07-31,145.456
1996-06-28,151.209
1996-05-31,147.975
1996-04-30,141.777
1996-03-29,142.446
1996-02-29,141.346
1996-01-31,137.145
1995-12-29,130.658
1995-11-30,130.853
1995-10-31,128.741
1995-09-29,125.441
1995-08-31,119.794
1995-07-31,120.232
1995-06-30,115.606
1995-05-31,111.167
1995-04-28,107.691
1995-03-31,103.027
1995-02-28,100.96
1995-01-31,97.056
1994-12-30,97.372
1994-11-30,96.016
1994-10-31,101.708
1994-09-30,98.163
1994-08-31,99.866
1994-07-29,97.582
1994-06-30,93.421
1994-05-31,96.485
1994-04-29,96.372
1994-03-31,96.122
1994-02-28,100.455
1994-01-31,104.186
1993-12-31,99.246
1993-11-30,97.852
