Date,Drawdown,DD_log,Cluster,Regime_num
1993-12-31,-0.009534102456997458,0.009488939732611303,Normal,0
1994-01-31,-0.011678770058791732,0.0116110995860777,Normal,0
1994-02-28,-0.03680495899247925,0.03614382958329209,Normal,0
1994-03-31,-0.07562243196479512,0.07289950049892961,Correction,1
1994-04-30,-0.08937756550262578,0.08560649231186593,Correction,1
1994-05-31,-0.06620279139755324,0.06410354348371286,Correction,1
1994-06-30,-0.04232542667319651,0.0414542042398378,Normal,0
1994-07-31,-0.03512336528294614,0.034520613124443274,Normal,0
1994-08-31,-0.01141942348131535,0.011354714028792205,Normal,0
1994-09-30,-0.03444870217441667,0.033868629902368504,Normal,0
1994-10-31,-0.04980364569891708,0.04860314258571636,Normal,0
1994-11-30,-0.054907921621357936,0.0534534850350553,Normal,0
1994-12-31,-0.06183522988674926,0.059998760016849145,Correction,1
1995-01-31,-0.030943293163481326,0.03047420174087101,Normal,0
1995-02-28,-0.008809464919820627,0.008770887979654517,Normal,0
1995-03-31,-0.012271804335370631,0.012197116162819295,Normal,0
1995-04-30,-0.008463754031789507,0.00842813729207513,Normal,0
1995-05-31,-0.017039322892141256,0.016895781896255433,Normal,0
1995-06-30,-0.015678615300422617,0.015556975592245389,Normal,0
1995-07-31,-0.020862935110878948,0.020648284441948196,Normal,0
1995-08-31,-0.01788681553304961,0.01772872877713186,Normal,0
1995-09-30,-0.009765395833420015,0.009718022518626827,Normal,0
1995-10-31,-0.02358427687318969,0.023310464569254796,Normal,0
1995-11-30,-0.010886402175833736,0.010827571881385936,Normal,0
1995-12-31,-0.0253341696635767,0.025018578641642482,Normal,0
1996-01-31,-0.037333754574642324,0.03665372372890642,Normal,0
1996-02-29,-0.031778697019164644,0.031284203190736985,Normal,0
1996-03-31,-0.042255668140018125,0.04138727613291215,Normal,0
1996-04-30,-0.04576312491135854,0.04474688197750827,Normal,0
1996-05-31,-0.03505934237423201,0.03445876070098545,Normal,0
1996-06-30,-0.02439166343129639,0.024098937308651616,Normal,0
1996-07-31,-0.07643215959257003,0.07365201641480143,Correction,1
1996-08-31,-0.041989049276098644,0.041131433943992685,Normal,0
1996-09-30,-0.039119373631996336,0.03837359832973269,Normal,0
1996-10-31,-0.01907655583533508,0.018896879814405777,Normal,0
1996-11-30,-0.00991810545613007,0.00986924385890471,Normal,0
1996-12-31,-0.04762036832489733,0.04652127630786384,Normal,0
1997-01-31,-0.02697678982535699,0.026619330715728237,Normal,0
1997-02-28,-0.031202111245658117,0.030725220008528002,Normal,0
1997-03-31,-0.07248647478577055,0.06997976081815818,Correction,1
1997-04-30,-0.09633825690635515,0.09197576947401799,Correction,1
1997-05-31,-0.02175691140222946,0.02152360771852978,Normal,0
1997-06-30,-0.022343403601977438,0.022097446694569138,Normal,0
1997-07-31,-0.02525120248553756,0.02493765815989979,Normal,0
1997-08-31,-0.06336433288591252,0.06143778088794145,Correction,1
1997-09-30,-0.04970216188845436,0.04850646858731635,Normal,0
1997-10-31,-0.10795223920774986,0.10251348198785927,Correction,1
1997-11-30,-0.07848479689942,0.07555709022423078,Correction,1
1997-12-31,-0.05193178113356679,0.05062826538166119,Normal,0
1998-01-31,-0.05702434141322208,0.05545773539609485,Normal,0
1998-02-28,-0.007301477592359665,0.007274950849528205,Normal,0
1998-03-31,-0.016130843888965473,0.016002124219706725,Normal,0
1998-04-30,-0.04018438280930798,0.03939798860185653,Normal,0
1998-05-31,-0.03513373379183932,0.03453062976334083,Normal,0
1998-06-30,-0.04734907871220975,0.046262284832271974,Normal,0
1998-07-31,-0.05568144601195492,0.05418647880171833,Normal,0
1998-08-31,-0.19335999216610492,0.17677285129896808,Bear,2
1998-09-30,-0.17936379637797556,0.16497513746903805,Bear,2
1998-10-31,-0.1915399178922214,0.1752465192130319,Bear,2
1998-11-30,-0.024070477325622643,0.023785349762252432,Normal,0
1998-12-31,-0.04288242916583014,0.04198844595039144,Normal,0
1999-01-31,-0.04932987169544275,0.048151742989079774,Normal,0
1999-02-28,-0.04962333099394809,0.048431367422860826,Normal,0
1999-03-31,-0.04230878530577342,0.0414382384964687,Normal,0
1999-04-30,-0.05089687712294193,0.04964396826347592,Normal,0
