Date,Last Price
2005-12-30,548.721
2005-11-30,551.754
2005-10-31,533.22
2005-09-30,543.964
2005-08-31,540.376
2005-07-29,548.591
2005-06-30,527.742
2005-05-31,531.818
2005-04-29,514.392
2005-03-31,526.862
2005-02-28,534.37
2005-01-31,513.36
2004-12-31,522.227
2004-11-30,497.99
2004-10-29,476.346
2004-09-30,470.856
2004-08-31,469.956
2004-07-30,467.415
2004-06-30,490.246
2004-05-31,478.91
2004-04-30,477.126
2004-03-31,473.759
2004-02-27,480.835
2004-01-30,473.852
2003-12-31,469.585
2003-11-28,443.851
2003-10-31,433.111
2003-09-30,413.806
2003-08-29,414.012
2003-07-31,410.589
2003-06-30,408.807
2003-05-30,403.501
2003-04-30,377.122
2003-03-31,352.304
2003-02-28,352.37
2003-01-31,354.694
2002-12-31,364.736
2002-11-29,382.261
2002-10-31,366.66
2002-09-30,331.811
2002-08-30,369.196
2002-07-31,369.083
2002-06-28,386.586
2002-05-31,414.837
2002-04-30,415.994
2002-03-29,433.538
2002-02-28,421.19
2002-01-31,419.364
2001-12-31,423.868
2001-11-30,419.345
2001-10-31,396.344
2001-09-28,388.155
2001-08-31,407.935
2001-07-31,425.583
2001-06-29,422.026
2001-05-31,428.158
2001-04-30,421.973
2001-03-30,402.104
2001-02-28,421.066
2001-01-31,438.551
2000-12-29,442.371
2000-11-30,432.146
2000-10-31,434.591
2000-09-29,414.826
2000-08-31,418.236
2000-07-31,403.012
2000-06-30,415.88
2000-05-31,391.478
2000-04-28,384.774
2000-03-31,380.711
2000-02-29,356.414
2000-01-31,374.864
1999-12-31,376.301
1999-11-30,373.625
1999-10-29,362.501
1999-09-30,339.146
1999-08-31,361.178
1999-07-30,357.279
1999-06-30,366.224
1999-05-31,350.458
1999-04-30,357.282
1999-03-31,350.802
1999-02-26,345.808
1999-01-29,359.925
1998-12-31,350.693
1998-11-30,334.083
1998-10-30,312.082
1998-09-30,291.182
1998-08-31,266.332
1998-07-31,302.358
1998-06-30,301.996
1998-05-29,287.681
1998-04-30,289.985
1998-03-31,286.168
1998-02-27,280.58
1998-01-30,260.238
1997-12-31,253.309
1997-11-28,250.979
1997-10-31,237.846
1997-09-30,246.846
1997-08-29,236.291
1997-07-31,250.768
1997-06-30,234.979
1997-05-30,224.177
1997-04-30,212.436
1997-03-31,196.471
1997-02-28,205.408
1997-01-31,203.866
1996-12-31,187.655
1996-11-29,190.747
1996-10-31,175.212
1996-09-30,170.395
1996-08-30,159.857
1996-07-31,157.272
1996-06-28,161.954
1996-05-31,159.389
1996-04-30,153.863
1996-03-29,153.014
1996-02-29,153.021
1996-01-31,150.612
1995-12-29,143.67
1995-11-30,140.454
1995-10-31,133.184
1995-09-29,131.427
1995-08-31,124.576
1995-07-31,124.527
1995-06-30,121.387
1995-05-31,118.217
1995-04-28,115.002
1995-03-31,110.049
1995-02-28,106.34
1995-01-31,103.17
1994-12-30,100.894
