,regime_pred,regime_true,factor_pred,factor_true,realized_return,weights,bm_ff5_eqw,bm_sp500_vw,bm_sp500_ew,best_in_hindsight
2007-03-31,0,0,2,1,0.008567290011171047,"{'value': 0.21479402102722853, 'momentum': 0.18894871392949744, 'quality': 0.26373025612260004, 'low_vol': 0.19475682659964416, 'growth': 0.1377701823210298}",0.008976942317008699,0.0109995767106245,0.0076848273092369,0.0141645120762166
2007-04-30,0,0,3,4,0.03388076105650886,"{'value': 0.20979745218268425, 'momentum': 0.3075547292865214, 'quality': 0.035988333817213954, 'low_vol': 0.3245293492028383, 'growth': 0.12213013551074214}",0.02984607153582882,0.043961311012106,0.0432073032128514,0.046801502
2007-05-31,0,0,1,0,0.028682503642812968,"{'value': 0.298359640739033, 'momentum': 0.32078632731592327, 'quality': 0.02974353810531237, 'low_vol': 0.12789189409182883, 'growth': 0.2232185997479026}",0.023362566418764098,0.0343926214320505,0.0323997074148296,0.038186752
2007-06-30,0,0,1,2,-0.021518984281489663,"{'value': 0.2191777461047226, 'momentum': 0.41270027402967696, 'quality': 0.03466260994698375, 'low_vol': 0.1029292014418534, 'growth': 0.23053016847676336}",-0.015724504896271,-0.0166580889377091,-0.0185357775551102,0.011707145518645
2007-07-31,0,1,2,2,-0.021018491702598525,"{'value': 0.18040029146903572, 'momentum': 0.2596392417197978, 'quality': 0.26207694456474195, 'low_vol': 0.1616786776011223, 'growth': 0.13620484464530225}",-0.02435372324747128,-0.0306582017073119,-0.0438895838383838,0.0230445867626436
2007-08-31,1,1,2,3,0.013959573042948335,"{'value': 0.012676334237822976, 'momentum': 0.04633733264090243, 'quality': 0.8618832501883639, 'low_vol': 0.056644927220848525, 'growth': 0.022458155712062125}",0.01797000536262322,0.0149919407038952,0.0005351162324649,0.0260447714248912
2007-09-30,1,1,3,1,0.01874047604171086,"{'value': 0.049572857545448566, 'momentum': 0.11295234776177818, 'quality': 0.2965691254766133, 'low_vol': 0.4870177499632605, 'growth': 0.05388791925289944}",0.0282201276,0.0375354521749677,0.0245281445783132,0.050055856
2007-10-31,1,0,3,1,0.005898718988373602,"{'value': 0.038608776916783584, 'momentum': 0.07647004351874807, 'quality': 0.09979048635459326, 'low_vol': 0.7295005838768814, 'growth': 0.055630109332993685}",0.01453528072581708,0.0168699401954111,0.0122859878296146,0.0386143980782769
2007-11-30,1,1,3,2,-0.020327579585529047,"{'value': 0.040432133681444396, 'momentum': 0.3202578830313499, 'quality': 0.1948487832365036, 'low_vol': 0.4010453376592576, 'growth': 0.04341586239144467}",-0.023468584592851484,-0.0414527482814361,-0.0498669337349397,0.0368034060357426
2007-12-31,1,1,2,2,0.006686332693687679,"{'value': 0.0342306902600014, 'momentum': 0.17462515395707678, 'quality': 0.4342928541315501, 'low_vol': 0.3304322376887313, 'growth': 0.026419063962640408}",0.0016434644988950991,-0.0063051650754231,-0.0175142991967871,0.0186480320890597
