Date,Last Price
2006-07-31,2439.574
2006-06-30,2415.346
2006-05-31,2407.254
2006-04-28,2467.597
2006-03-31,2400.654
2006-02-28,2360.411
2006-01-31,2335.19
2005-12-30,2267.509
2005-11-30,2261.422
2005-10-31,2179.865
2005-09-30,2218.582
2005-08-31,2195.794
2005-07-29,2212.378
2005-06-30,2144.782
2005-05-31,2112.889
2005-04-29,2048.06
2005-03-31,2090.761
2005-02-28,2128.608
2005-01-31,2090.757
2004-12-31,2142.819
2004-11-30,2075.211
2004-10-29,1978.654
2004-09-30,1949.234
2004-08-31,1912.992
2004-07-30,1892.606
2004-06-30,1929.163
2004-05-31,1888.132
2004-04-30,1866.63
2004-03-31,1913.93
2004-02-27,1927.308
2004-01-30,1884.714
2003-12-31,1851.952
2003-11-28,1744.224
2003-10-31,1728.673
2003-09-30,1618.07
2003-08-29,1647.904
2003-07-31,1613.001
2003-06-30,1577.966
2003-05-30,1566.515
2003-04-30,1459.119
2003-03-31,1327.833
2003-02-28,1329.551
2003-01-31,1366.785
2002-12-31,1405.237
2002-11-29,1482.246
2002-10-31,1384.953
2002-09-30,1278.645
2002-08-30,1443.585
2002-07-31,1433.736
2002-06-28,1607.515
2002-05-31,1715.697
2002-04-30,1708.874
2002-03-29,1799.004
2002-02-28,1711.311
2002-01-31,1726.757
2001-12-31,1775.477
2001-11-30,1748.868
2001-10-31,1644.5
2001-09-28,1644.504
2001-08-31,1817.111
2001-07-31,1928.579
2001-06-29,1962.515
2001-05-31,2028.2
2001-04-30,2007.202
2001-03-30,1879.691
2001-02-28,1956.923
2001-01-31,2095.839
2000-12-29,2010.938
2000-11-30,1912.528
2000-10-31,2015.695
2000-09-29,1978.735
2000-08-31,1979.218
2000-07-31,1854.846
2000-06-30,1818.46
2000-05-31,1893.252
2000-04-28,1887.364
2000-03-31,1900.07
2000-02-29,1720.654
2000-01-31,1835.328
1999-12-31,1895.642
1999-11-30,1826.995
1999-10-29,1837.767
1999-09-30,1739.564
1999-08-31,1810.4
