,regime_pred,regime_true,factor_pred,factor_true,realized_return,weights,bm_ff5_eqw,bm_sp500_vw,bm_sp500_ew,best_in_hindsight
2012-05-31,0,1,1,2,-0.02125074809332596,"{'value': 0.05858688527150371, 'momentum': 0.530193788891961, 'quality': 0.2906796203190403, 'low_vol': 0.04168761705623441, 'growth': 0.07885208846126047}",-0.02925560083513946,-0.0597875719683105,-0.0708512233400402,0.0308424831815541
2012-06-30,1,1,2,0,-0.004716607121844714,"{'value': 0.006498481114749883, 'momentum': 0.015591516930925482, 'quality': 0.9505848694935426, 'low_vol': 0.02141929862655527, 'growth': 0.0059058338342266375}",0.0282977216583505,0.0414673507713902,0.0383285691382765,0.047053343410929
2012-07-31,1,0,1,3,0.013451617930567641,"{'value': 0.12816700782209106, 'momentum': 0.4124858677774584, 'quality': 0.08545052032427462, 'low_vol': 0.32902061809219835, 'growth': 0.04487598598397752}",0.0126916085063086,0.0140840730283966,0.0021334056224899,0.0210357623518979
2012-08-31,1,0,0,4,0.012430017648006485,"{'value': 0.5653710260269877, 'momentum': 0.13411736516858963, 'quality': 0.08316688063759352, 'low_vol': 0.18923144007789763, 'growth': 0.02811328808893157}",0.008449159834019278,0.0227441035257676,0.030790024,0.0230535680662775
2012-09-30,0,0,1,0,0.018996961156675252,"{'value': 0.14493907524838817, 'momentum': 0.4286309435180156, 'quality': 0.06978251247239733, 'low_vol': 0.2772424564492976, 'growth': 0.0794050123119013}",0.015718683769287638,0.0250785755754449,0.024078466,0.0313149741681322
2012-10-31,0,0,1,3,-0.017623095922373377,"{'value': 0.11772258227667884, 'momentum': 0.31805177250099775, 'quality': 0.05460488874938656, 'low_vol': 0.21149853893190354, 'growth': 0.29812221754103335}",-0.01609041822184118,-0.0179547253023497,-0.0071973400402414,-0.0008041682902949
2012-11-30,0,1,3,2,0.00496187583759315,"{'value': 0.2207950856980752, 'momentum': 0.18535227613399985, 'quality': 0.18317695643511475, 'low_vol': 0.22156743838350285, 'growth': 0.18910824334930734}",0.00537818522629018,0.005326267486065,0.013640052,0.0124730224123892
2012-12-31,0,0,3,0,-0.0041089984633211835,"{'value': 0.10657713901651664, 'momentum': 0.0912561500267885, 'quality': 0.048912930371410965, 'low_vol': 0.5216847119692787, 'growth': 0.2315690686160052}",-0.0065626512803289,0.0085297544851008,0.02431050501002,0.0216983363208975
2013-01-31,1,0,2,0,0.005326053464690388,"{'value': 0.09509677527802428, 'momentum': 0.17334846285452155, 'quality': 0.6028889032050557, 'low_vol': 0.09772986138673367, 'growth': 0.030935997275664873}",0.03335446521806814,0.052223763939355,0.0654304228456913,0.0649928898196061
2013-02-28,0,0,0,3,0.016445477759253823,"{'value': 0.529656860147094, 'momentum': 0.2253030587797959, 'quality': 0.030922883159800428, 'low_vol': 0.15597765836098612, 'growth': 0.058139539552323455}",0.015571965830519518,0.0130079987162469,0.012007462,0.0272280973813674
2013-03-31,0,0,0,3,0.038338810608960855,"{'value': 0.41648599863834285, 'momentum': 0.1521130311291177, 'quality': 0.047931222353271484, 'low_vol': 0.24772526100290299, 'growth': 0.135744486876365}",0.03153894871250828,0.0375843843477756,0.042924868,0.04873209959141
2013-04-30,0,0,0,3,0.024462498124357274,"{'value': 0.42024027558197113, 'momentum': 0.07427622941852022, 'quality': 0.04212938486729205, 'low_vol': 0.36716703482077495, 'growth': 0.09618707531144173}",0.01681049021897618,0.0196214505154646,0.015737046,0.0383955522241283
2013-05-31,0,0,3,0,-0.01841221280245285,"{'value': 0.14608049095915693, 'momentum': 0.059984179456602275, 'quality': 0.035603024171375126, 'low_vol': 0.7145058370705933, 'growth': 0.043826468342272266}",0.0077305639407289,0.0230694702302135,0.0286468877755511,0.0248718287785598
2013-06-30,0,0,0,2,-0.004756602452316041,"{'value': 0.6181782322739657, 'momentum': 0.03882839782857334, 'quality': 0.02751867049343021, 'low_vol': 0.2819653762308356, 'growth': 0.03350932317319517}",-0.0043512860259906595,-0.0135869188121941,-0.0104527815631262,0.0129329681062855
2013-07-31,0,0,3,0,0.035570142789013104,"{'value': 0.10237472601120269, 'momentum': 0.09477214143489683, 'quality': 0.1635061281460455, 'low_vol': 0.5731231728980556, 'growth': 0.06622383150979941}",0.03609511078431402,0.0507219929854632,0.0552862570281124,0.0510705219830547
2013-08-31,0,0,0,2,-0.035112203564596524,"{'value': 0.6646742093377894, 'momentum': 0.05487338190747365, 'quality': 0.04365723787374063, 'low_vol': 0.17209536416407312, 'growth': 0.06469980671692314}",-0.026350659582589565,-0.0292074209931906,-0.027829024,0.0092684002711511
2013-09-30,0,0,2,4,0.006028130911919297,"{'value': 0.1291764591698973, 'momentum': 0.04903981166102469, 'quality': 0.608501295639598, 'low_vol': 0.1640607790930342, 'growth': 0.04922165443644565}",0.02182563677663846,0.0315075163474906,0.0404071823647294,0.0376672476738901
2013-10-31,0,0,0,4,0.04234269508020728,"{'value': 0.682075454638785, 'momentum': 0.05971594588022099, 'quality': 0.055419248537609524, 'low_vol': 0.12367370303371522, 'growth': 0.07911564790966921}",0.037975904870962876,0.0462674867295099,0.042827906,0.0480629930355347
2013-11-30,0,0,0,1,0.026833686709642077,"{'value': 0.4249553096652881, 'momentum': 0.06395355147210258, 'quality': 0.05134052234133005, 'low_vol': 0.18846425668692557, 'growth': 0.2712863598343538}",0.026913106249119356,0.0307889310446722,0.0236665651302605,0.0466748119044257
2013-12-31,0,0,0,4,0.02265288809671176,"{'value': 0.4318685685650046, 'momentum': 0.0322748387605647, 'quality': 0.02917719291342339, 'low_vol': 0.08146797762553172, 'growth': 0.4252114221354756}",0.01280145113300928,0.0252157547089002,0.0292594068136272,0.0270490235756122
2014-01-31,0,0,1,3,-0.032459351824710936,"{'value': 0.19362974443829753, 'momentum': 0.3396257755454347, 'quality': 0.04896946756045865, 'low_vol': 0.11726098349447701, 'growth': 0.3005140289613321}",-0.03165691015951702,-0.0345675563757488,-0.029442896,-0.0248845376483918
2014-02-28,0,0,2,4,0.009921762062923438,"{'value': 0.03221644890100908, 'momentum': 0.06473133475246244, 'quality': 0.6329089568516852, 'low_vol': 0.15942576504969258, 'growth': 0.11071749444515054}",0.03241778080901106,0.045756812726601,0.053917712,0.0524455866998634
2014-03-31,0,0,4,0,0.004903936021483731,"{'value': 0.18900902194859304, 'momentum': 0.14548904940947452, 'quality': 0.03828287791317267, 'low_vol': 0.19209111738847848, 'growth': 0.4351279333402812}",0.0088432878036698,0.008108476503287,0.007369362,0.02580074100057
2014-04-30,0,0,3,3,0.00746286451407286,"{'value': 0.12005945524735746, 'momentum': 0.15075228629860826, 'quality': 0.06956141510068453, 'low_vol': 0.3465468226797462, 'growth': 0.3130800206736036}",0.00492271178561872,0.0071894641582932,0.0031684099999999,0.0194786249539331
2014-05-31,0,0,3,1,0.020743748543685506,"{'value': 0.23262130982713133, 'momentum': 0.15194794571324619, 'quality': 0.07416566144386239, 'low_vol': 0.27171967649214684, 'growth': 0.2695454065236133}",0.0191843312975684,0.0232472565197922,0.0230002168674698,0.0386229642788895
2014-06-30,0,0,3,3,0.018332746138723936,"{'value': 0.13034190030169834, 'momentum': 0.1106799464662658, 'quality': 0.05327974015255929, 'low_vol': 0.36499064919098934, 'growth': 0.3407077638884872}",0.0120811081890086,0.0206228737092363,0.0286432734530938,0.0215552438008383
2014-07-31,0,0,3,2,-0.02186620568098388,"{'value': 0.08925861506459096, 'momentum': 0.27247037735829543, 'quality': 0.04899927342695413, 'low_vol': 0.480818912602777, 'growth': 0.10845282154738253}",-0.0121481723100419,-0.0138855449237581,-0.021818618,0.0100080578099394
